Pair_ID,Role,Similarity,Category,Text
1037677,SEED (Correct),1.0,landbouw en visserij,"Uitscheiding stikstof daalt, fosfaat stijgt in 2022 Nieuws Melkvee uur De uitscheiding van fosfaat door melkvee gaat in 2022 omhoog door een hoger fosfaatgehalte in het gras. De stikstofuitscheiding daalt wel verder, blijkt uit de inschatting van het Centraal Bureau voor de Statistiek (CBS). Alle diergroepen blijven onder de fosfaat- en stikstofplafonds. © Twan Wiermans Landbouwminister Henk Staghouwer meldt deze verwachting voor de stikstof- en fosfaatexcretie in een Kamerbrief. Die is gebaseer"
1037677,NEIGHBOR (Sim: 0.990),0.9901709922276016,landbouw en visserij,"Stikstofoverschot landbouw gestegen, merendeel kwam in bodem terecht « Forum Quote: Het overschot aan stikstof in de agrarische sector steeg in 2020 naar 307 miljoen kilogram. Dat was 4,5 procent meer dan het jaar ervoor. Er kwam vooral meer stikstof in de grond terecht, blijkt woensdag uit cijfers van statistiekbureau CBS. Stikstofoverschot landbouw gestegen, merendeel kwam in bodem terecht (nu.nl) Het overschot aan stikstof in de agrarische sector steeg in 2020 naar 307 miljoen kilogram. Dat w"
,---,,,
1039096,SEED (Correct),1.0,overheid en politiek,Fosfaat- en stikstofexcretie beneden wettelijk vastgelegde productieplafonds Het Centraal Bureau voor de Statistiek heeft de eerste kwartaalrapportage 2022 over de fosfaat- en stikstofexcretie door de Nederlandse veestapel gepubliceerd. Op basis van de meest actuele gegevens mag worden dat de fosfaat- en stikstofexcretie in 2022 de wettelijk vastgelegde productieplafonds niet zullen overschrijden. Dat meldt minister Staghouwer van LNV aan de Tweede Kamer. De kwartaalrapportage van het CBS geeft 
1039096,NEIGHBOR (Sim: 0.985),0.9847222084685539,landbouw en visserij,"Uitscheiding stikstof daalt, fosfaat stijgt in 2022 Nieuws Melkvee uur De uitscheiding van fosfaat door melkvee gaat in 2022 omhoog door een hoger fosfaatgehalte in het gras. De stikstofuitscheiding daalt wel verder, blijkt uit de inschatting van het Centraal Bureau voor de Statistiek (CBS). Alle diergroepen blijven onder de fosfaat- en stikstofplafonds. © Twan Wiermans Landbouwminister Henk Staghouwer meldt deze verwachting voor de stikstof- en fosfaatexcretie in een Kamerbrief. Die is gebaseer"
,---,,,
958761,SEED (Correct),1.0,zorg en gezondheid,"In 2021 overleden 16.000 mensen meer dan verwacht In 2021 overleden bijna 171.000 mensen. Dat zijn er 16.000 (10 procent) meer dan verwacht voor dit jaar. In iedere leeftijdsgroep was de sterfte verhoogd. De oversterfte bij mensen in de Wet langdurige zorg, zoals ouderenzorg en gehandicaptenzorg, was lager dan die in de overige bevolking. Vooral in Flevoland, Zeeland en Limburg stierven meer mensen dan verwacht. De levensverwachting in 2021 was ongeveer gelijk aan die in 2020. Dit meldt het CBS."
958761,NEIGHBOR (Sim: 0.983),0.982911000972205,bevolking,"10 procent meer mensen overleden dan verwacht in 2021 Den Haag In 2021 overleden bijna 171 duizend mensen, 16 duizend (10 procent) meer dan verwacht voor dit jaar. In iedere leeftijdsgroep was de sterfte verhoogd. De oversterfte bij Wlz-zorggebruikers was lager dan die in de overige bevolking. Vooral in Flevoland, Zeeland en Limburg stierven meer mensen dan verwacht. De levensverwachting in 2021 was ongeveer gelijk aan die in 2020. Dat meldt het CBS op basis van de voorlopige jaarcijfers. Een ja"
,---,,,
958769,SEED (Correct),1.0,overheid en politiek,"In 2021 10 procent meer oversterfte Oversterfte in alle leeftijdsgroepen In 2021 overleden bijna 171 duizend mensen, 16 duizend (10 procent) meer dan verwacht voor dit jaar. In iedere leeftijdsgroep was de sterfte verhoogd. De oversterfte bij Wlz-zorggebruikers was lager dan die in de overige bevolking. Vooral in Flevoland, Zeeland en Limburg stierven meer mensen dan verwacht. De levensverwachting in 2021 was ongeveer gelijk aan die in 2020. Dat meldt het CBS op basis van de voorlopige jaarcijfe"
958769,NEIGHBOR (Sim: 0.978),0.9781794535278998,bevolking,"10 procent meer mensen overleden dan verwacht in 2021 Den Haag In 2021 overleden bijna 171 duizend mensen, 16 duizend (10 procent) meer dan verwacht voor dit jaar. In iedere leeftijdsgroep was de sterfte verhoogd. De oversterfte bij Wlz-zorggebruikers was lager dan die in de overige bevolking. Vooral in Flevoland, Zeeland en Limburg stierven meer mensen dan verwacht. De levensverwachting in 2021 was ongeveer gelijk aan die in 2020. Dat meldt het CBS op basis van de voorlopige jaarcijfers. Een ja"
,---,,,
958772,SEED (Correct),1.0,overheid en politiek,"Bijna 69 duizend nieuwbouwwoningen in 2021 NEDERLAND - In 2021 werden bijna 69 duizend nieuwbouwwoningen opgeleverd. Dat zijn er minder dan in 2019 en 2020, maar meer dan in de jaren 2012-2018. Daarmee groeide de woningvoorraad met 0,9 procent tot ruim 8 miljoen woningen. In Amsterdam werden de meeste nieuwbouwwoningen aan de woningvoorraad toegevoegd. Dit meldt het CBS op basis van nieuwe cijfers over het aantal opgeleverde nieuwbouwwoningen. Naast nieuwbouw voegen ook transformaties woningen t"
958772,NEIGHBOR (Sim: 0.992),0.9918263154954545,natuur en milieu,"CBS: Stikstofoverschot landbouw in 2020 bijna onveranderd Het verlies van stikstof naar de lucht was in 2020 ongeveer net zo hoog als in 2019, 88 miljoen kilogram. Dat blijkt uit nieuwe cijfers van het CBS. Het stikstofoverschot nam iets toe ten opzichte van het jaar ervoor, met ongeveer 4,5 procent toegenomen naar 307 miljoen kilogram. De depositie nam juist af. Vergeleken met tien jaar eerder is het verlies naar bodem iets gestegen en naar de lucht iets afgenomen, blijkt uit de Mineralenbalans"
,---,,,
